"","day","time","junk1","junk2","Nflasks","quality","co2","date"
"147","1968-03-06"," 07:45",24903.32,1968.178,2,2,NA,1968-03-06 07:45:00
"148","1968-03-20"," 08:30",24917.35,1968.217,2,0,323.47,1968-03-20 08:30:00
"149","1968-04-04"," 06:40",24932.28,1968.258,2,2,NA,1968-04-04 06:40:00
"150","1968-05-08"," 21:30",24966.9,1968.352,2,2,NA,1968-05-08 21:30:00
"151","1968-05-21"," 08:30",24979.35,1968.386,2,0,326.19,1968-05-21 08:30:00
"152","1968-07-08"," 10:00",25027.42,1968.518,2,0,324.18,1968-07-08 10:00:00
"153","1968-07-15"," 10:15",25034.43,1968.537,2,0,323.44,1968-07-15 10:15:00
"154","1968-07-30"," 09:40",25049.4,1968.578,2,4,NA,1968-07-30 09:40:00
"155","1968-08-23"," 08:40",25073.36,1968.643,2,0,322.09,1968-08-23 08:40:00
"156","1968-09-13"," 07:45",25094.32,1968.7,2,2,NA,1968-09-13 07:45:00
"157","1968-09-30"," 09:10",25111.38,1968.747,2,4,NA,1968-09-30 09:10:00
"158","1968-10-15"," 08:52",25126.37,1968.788,1,4,NA,1968-10-15 08:52:00
"159","1968-10-28"," 08:25",25139.35,1968.823,2,0,319.91,1968-10-28 08:25:00
"160","1968-11-12"," 08:55",25154.37,1968.864,2,0,320.83,1968-11-12 08:55:00
"161","1968-12-20"," 09:25",25192.39,1968.968,2,0,323.23,1968-12-20 09:25:00
"162","1969-01-17"," 08:58",25220.37,1969.045,2,0,324.16,1969-01-17 08:58:00
"163","1969-01-30"," 08:30",25233.35,1969.08,2,0,324.81,1969-01-30 08:30:00
"164","1969-02-17"," 08:55",25251.37,1969.13,2,0,324.2,1969-02-17 08:55:00
"165","1969-02-27"," 09:25",25261.39,1969.157,2,4,NA,1969-02-27 09:25:00
"166","1969-03-19"," 08:55",25281.37,1969.212,2,4,NA,1969-03-19 08:55:00
"167","1969-04-03"," 09:00",25296.38,1969.253,2,0,326.06,1969-04-03 09:00:00
"168","1969-04-15"," 08:30",25308.35,1969.286,2,4,NA,1969-04-15 08:30:00
"169","1969-05-09"," 08:00",25332.33,1969.352,2,0,328.47,1969-05-09 08:00:00
"170","1969-05-16"," 08:00",25339.33,1969.371,2,4,NA,1969-05-16 08:00:00
"171","1969-05-26"," 08:25",25349.35,1969.398,2,0,327.68,1969-05-26 08:25:00
"172","1969-06-20"," 13:20",25374.56,1969.467,2,4,NA,1969-06-20 13:20:00
"173","1969-06-30"," 09:35",25384.4,1969.494,2,0,326.02,1969-06-30 09:35:00
"174","1969-07-14"," 08:00",25398.33,1969.532,2,4,NA,1969-07-14 08:00:00
"175","1969-08-06"," 10:20",25421.43,1969.596,2,4,NA,1969-08-06 10:20:00
"176","1969-08-15"," 08:30",25430.35,1969.62,2,0,323.25,1969-08-15 08:30:00
"177","1969-08-27"," 09:45",25442.41,1969.653,2,0,323.48,1969-08-27 09:45:00
"178","1969-09-15"," 10:17",25461.43,1969.705,2,0,322.29,1969-09-15 10:17:00
"179","1969-10-06"," 09:10",25482.38,1969.763,2,4,NA,1969-10-06 09:10:00
"180","1969-10-17"," 14:15",25493.59,1969.793,2,0,321.07,1969-10-17 14:15:00
"181","1969-11-03"," 08:38",25510.36,1969.839,2,0,322.47,1969-11-03 08:38:00
"182","1969-11-17"," 09:47",25524.41,1969.878,2,0,323.4,1969-11-17 09:47:00
"183","1969-11-28"," 08:40",25535.36,1969.908,2,0,324.32,1969-11-28 08:40:00
"184","1969-12-19"," 08:35",25556.36,1969.965,2,0,323.65,1969-12-19 08:35:00
"185","1970-01-07"," 09:15",25575.39,1970.017,2,4,NA,1970-01-07 09:15:00
"186","1970-01-16"," 08:45",25584.36,1970.042,2,0,325.26,1970-01-16 08:45:00
"187","1970-03-06"," 08:15",25633.34,1970.176,2,0,326.61,1970-03-06 08:15:00
"188","1970-03-17"," 08:48",25644.37,1970.206,2,0,326.75,1970-03-17 08:48:00
"189","1970-04-06"," 11:50",25664.49,1970.262,2,0,327.32,1970-04-06 11:50:00
"190","1970-04-24"," 10:18",25682.43,1970.311,2,0,329.08,1970-04-24 10:18:00
"191","1970-05-15"," 08:50",25703.37,1970.368,2,0,328.15,1970-05-15 08:50:00
"192","1970-05-25"," 14:15",25713.59,1970.396,2,0,328.4,1970-05-25 14:15:00
"193","1970-06-08"," 08:55",25727.37,1970.434,1,4,NA,1970-06-08 08:55:00
"194","1970-06-15"," 13:50",25734.58,1970.454,2,4,NA,1970-06-15 13:50:00
"195","1970-07-02"," 08:50",25751.37,1970.5,2,0,326.77,1970-07-02 08:50:00
"196","1970-07-24"," 08:45",25773.36,1970.56,2,4,NA,1970-07-24 08:45:00
"197","1970-08-03"," 14:15",25783.59,1970.588,2,0,323.22,1970-08-03 14:15:00
"198","1970-08-12"," 10:20",25792.43,1970.612,2,0,324.59,1970-08-12 10:20:00
"199","1970-09-21"," 09:15",25832.39,1970.722,2,0,323.62,1970-09-21 09:15:00
"200","1970-10-05"," 14:40",25846.61,1970.761,2,0,322.86,1970-10-05 14:40:00
"201","1970-10-19"," 09:20",25860.39,1970.798,2,4,NA,1970-10-19 09:20:00
"202","1970-11-13"," 11:20",25885.47,1970.867,2,0,324.2,1970-11-13 11:20:00
"203","1970-11-23"," 08:50",25895.37,1970.894,2,4,NA,1970-11-23 08:50:00
"204","1970-12-07"," 09:20",25909.39,1970.933,1,4,NA,1970-12-07 09:20:00
"205","1971-01-08"," 10:10",25941.42,1971.02,2,4,NA,1971-01-08 10:10:00
"206","1971-01-27"," 12:25",25960.52,1971.073,2,0,326.31,1971-01-27 12:25:00
"207","1971-02-16"," 08:50",25980.37,1971.127,2,0,326.83,1971-02-16 08:50:00
"208","1971-02-22"," 09:10",25986.38,1971.144,2,0,327.12,1971-02-22 09:10:00
"209","1971-03-08"," 09:50",26000.41,1971.182,2,0,326.86,1971-03-08 09:50:00
"210","1971-03-15"," 09:50",26007.41,1971.201,2,0,326.93,1971-03-15 09:50:00
"211","1971-04-03"," 15:38",26026.65,1971.254,5,0,326.69,1971-04-03 15:38:00
"212","1971-04-16"," 14:15",26039.59,1971.289,2,0,327.27,1971-04-16 14:15:00
"213","1971-05-03"," 08:30",26056.35,1971.335,2,0,328.8,1971-05-03 08:30:00
"214","1971-05-17"," 13:13",26070.55,1971.374,2,0,328.18,1971-05-17 13:13:00
"215","1971-06-04"," 08:50",26088.37,1971.423,2,4,NA,1971-06-04 08:50:00
"216","1971-06-14"," 13:45",26098.57,1971.451,2,0,326.59,1971-06-14 13:45:00
"217","1971-07-02"," 15:47",26116.66,1971.5,2,0,327,1971-07-02 15:47:00
"218","1971-07-12"," 13:45",26126.57,1971.528,2,0,327.73,1971-07-12 13:45:00
"219","1971-08-02"," 15:30",26147.65,1971.585,2,0,326.5,1971-08-02 15:30:00
"220","1971-08-17"," 13:30",26162.56,1971.626,2,4,NA,1971-08-17 13:30:00
"221","1971-09-03"," 09:00",26179.38,1971.672,2,0,324,1971-09-03 09:00:00
"222","1971-09-17"," 13:35",26193.57,1971.711,2,0,323.41,1971-09-17 13:35:00
